phrog_num	phrog_annot	phrog_category
574	NA	unknown function
575	Cox-like excisionase and repressor	integration and excision
576	tail fiber protein	tail
577	Doc-like toxin	"moron, auxiliary metabolic gene and host takeover"
578	head closure Hc3	connector
579	NA	unknown function
580	NA	unknown function
581	minor head protein	head and packaging
582	Arc-like repressor	transcription regulation
583	NA	unknown function
584	major tail protein	tail
585	NA	unknown function
586	NA	unknown function
587	structural protein	head and packaging
588	tail fiber protein and host specificity	tail
589	HNH endonuclease	"DNA, RNA and nucleotide metabolism"
590	NA	unknown function
591	NA	unknown function
592	thymidine kinase	other
593	NA	unknown function
594	NA	unknown function
595	head maturation protease	head and packaging
596	NA	unknown function
597	DNA binding protein	"DNA, RNA and nucleotide metabolism"
598	DNA ejection	"DNA, RNA and nucleotide metabolism"
599	Lar-like restriction alleviation protein	"moron, auxiliary metabolic gene and host takeover"
600	unknown function	unknown function
601	NA	unknown function
602	NA	unknown function
603	transcriptional regulator	transcription regulation
604	NA	unknown function
605	NA	unknown function
606	terminase small subunit	head and packaging
607	exonuclease VII	"DNA, RNA and nucleotide metabolism"
608	holin	lysis
609	RIIB lysis inhibitor	lysis
610	NA	unknown function
611	NA	unknown function
612	RIIA lysis inhibitor	lysis
613	head protein	head and packaging
614	NA	unknown function
615	head-tail adaptor	connector
616	NA	unknown function
617	major head protein	head and packaging
618	NA	unknown function
619	ribose-phosphate pyrophosphokinase	other
620	ParB-like partition protein	"DNA, RNA and nucleotide metabolism"
621	tail assembly chaperone	tail
622	unknown function	unknown function
623	transposase	integration and excision
624	DNA binding protein	"DNA, RNA and nucleotide metabolism"
625	NA	unknown function
626	anaerobic ribonucleotide reductase small subunit	"DNA, RNA and nucleotide metabolism"
627	NA	unknown function
628	NA	unknown function
629	excisionase	integration and excision
630	NA	unknown function
631	NA	unknown function
632	tellurite resistance	"moron, auxiliary metabolic gene and host takeover"
633	transcriptional regulator	transcription regulation
634	baseplate hub assembly catalyst	tail
635	endolysin	lysis
636	NA	unknown function
637	head-tail adaptor Ad3	connector
638	transcriptional regulator	transcription regulation
639	transcriptional regulator	transcription regulation
640	NA	unknown function
641	terminase small subunit	head and packaging
642	NA	unknown function
643	transcriptional regulator	transcription regulation
644	NA	unknown function
645	Rnase E	"DNA, RNA and nucleotide metabolism"
646	unknown function	unknown function
647	NA	unknown function
648	head scaffolding protein	head and packaging
649	NA	unknown function
650	NA	unknown function
651	head morphogenesis	head and packaging
652	NA	unknown function
653	NA	unknown function
654	NA	unknown function
655	homing endonuclease	"DNA, RNA and nucleotide metabolism"
656	abc2 anti-RecBCD	"moron, auxiliary metabolic gene and host takeover"
657	NA	unknown function
658	NA	unknown function
659	Sak-like ssDNA annealing protein	"DNA, RNA and nucleotide metabolism"
660	NA	unknown function
661	NA	unknown function
662	NA	unknown function
663	minor head protein	head and packaging
664	DNA binding protein	"DNA, RNA and nucleotide metabolism"
665	NA	unknown function
666	NA	unknown function
667	NA	unknown function
668	HTH DNA binding protein	"DNA, RNA and nucleotide metabolism"
669	endolysin	lysis
670	endolysin	lysis
671	nucleotide pyrophosphohydrolase	other
672	NA	unknown function
673	head scaffolding protein	head and packaging
674	NA	unknown function
675	terminase large subunit	head and packaging
676	NA	unknown function
677	baseplate wedge tail fiber protein connector	tail
678	replication initiation O-like	"DNA, RNA and nucleotide metabolism"
679	head closure Hc2	connector
680	tail length tape measure protein	tail
681	endonuclease	"DNA, RNA and nucleotide metabolism"
682	NA	unknown function
683	NA	unknown function
684	virion structural protein	head and packaging
685	NA	unknown function
686	HTH DNA binding protein	"DNA, RNA and nucleotide metabolism"
687	structural protein	head and packaging
688	transposase	integration and excision
689	holin	lysis
690	NA	unknown function
691	partition protein	"DNA, RNA and nucleotide metabolism"
692	virion structural protein	head and packaging
693	tail fiber protein	tail
694	baseplate hub and tail lysozyme	tail
695	DNA polymerase/primase	"DNA, RNA and nucleotide metabolism"
696	major head protein	head and packaging
697	structural protein	head and packaging
698	NA	unknown function
699	NA	unknown function
700	endolysin	lysis
701	virion structural protein	head and packaging
702	replication protein	"DNA, RNA and nucleotide metabolism"
703	NA	unknown function
704	DNA repair exonuclease	"DNA, RNA and nucleotide metabolism"
705	NA	unknown function
706	NA	unknown function
707	NA	unknown function
708	baseplate wedge subunit	tail
709	NA	unknown function
710	NA	unknown function
711	NA	unknown function
712	NA	unknown function
713	DNA replication initiation	"DNA, RNA and nucleotide metabolism"
714	NA	unknown function
715	MazG-like pyrophosphatase	other
716	Na/K ATPase	other
717	NA	unknown function
718	NA	unknown function
719	baseplate wedge subunit	tail
720	transposase	integration and excision
721	NA	unknown function
722	NA	unknown function
723	ParB-like partition protein	"DNA, RNA and nucleotide metabolism"
724	exonuclease recombination-associated	"DNA, RNA and nucleotide metabolism"
725	CII-like regulator	transcription regulation
726	NA	unknown function
727	NA	unknown function
728	NA	unknown function
729	cold shock protein	other
730	NA	unknown function
731	NA	unknown function
732	minor tail protein	tail
733	excisionase	integration and excision
734	NA	unknown function
735	terminase small subunit	head and packaging
736	NA	unknown function
737	minor tail protein	tail
738	NA	unknown function
739	Rz-like spanin	lysis
740	HNH endonuclease	"DNA, RNA and nucleotide metabolism"
741	NA	unknown function
742	acetyltransferase	other
743	single strand DNA binding protein	"DNA, RNA and nucleotide metabolism"
744	NA	unknown function
745	NA	unknown function
746	minor tail protein	tail
747	NA	unknown function
748	head-tail connector protein	connector
749	NA	unknown function
750	NA	unknown function
751	NA	unknown function
752	major head protein	head and packaging
753	anti-termination protein Q-like	transcription regulation
754	minor tail protein	tail
755	RNA ligase	"DNA, RNA and nucleotide metabolism"
756	DNA binding protein	"DNA, RNA and nucleotide metabolism"
757	DNA methyltransferase	other
758	head morphogenesis	head and packaging
759	tail associated cell-wall hydrolase	other
760	NA	unknown function
761	thymidylate kinase	other
762	NA	unknown function
763	head-tail adaptor	connector
764	cytidyltransferase	other
765	NA	unknown function
766	head decoration	head and packaging
767	cAMP phosphodiesterase	other
768	DprA-like DNA recombination-mediator protein	"DNA, RNA and nucleotide metabolism"
769	transcriptional repressor	transcription regulation
770	DNA transfer protein	other
771	virion structural protein	head and packaging
772	tail fiber protein	tail
773	major head protein	head and packaging
774	NA	unknown function
775	replication helicase	"DNA, RNA and nucleotide metabolism"
776	portal protein	head and packaging
777	major head protein	head and packaging
778	tail assembly protein	tail
779	NA	unknown function
780	NA	unknown function
781	NA	unknown function
782	NA	unknown function
783	head-tail adaptor	connector
784	NA	unknown function
785	holin	lysis
786	NA	unknown function
787	NA	unknown function
788	tail protein	tail
789	esterase/lipase	other
790	endolysin	lysis
791	NA	unknown function
792	major tail protein	tail
793	head-tail adaptor	connector
794	tail length tape measure protein	tail
795	partition protein ATPase	other
796	NA	unknown function
797	NA	unknown function
798	NA	unknown function
799	DNA methyltransferase	other
800	terminase small subunit	head and packaging
801	dATP / dGTP pyrophosphohydrolase	"DNA, RNA and nucleotide metabolism"
802	Alt-like RNA polymerase ADP-ribosyltransferase	"moron, auxiliary metabolic gene and host takeover"
803	host nuclease inhibitor	"moron, auxiliary metabolic gene and host takeover"
804	NA	unknown function
805	internal virion protein	head and packaging
806	NA	unknown function
807	major tail protein with Ig-like domain	tail
808	NA	unknown function
809	transcriptional regulator	transcription regulation
810	NA	unknown function
811	UmuD-like protein	"DNA, RNA and nucleotide metabolism"
812	Rz-like spanin	lysis
813	head-tail adaptor	connector
